# Connexxion
#   (still needs to have place names added based on lon/lat)
company	ovcid	haltenr 	zone	lon      	lat      	title
1	20014	50310050	5031	 5.3050068	52.0839592	Austerlitzseweg
1	20012	50310030	5031	 5.2952102	52.0874393	KNVB-Sportcentrum
1	20011	50310020	5031	 5.2948157	52.0877266	KNVB-Sportcentrum
1	20015	50310060	5031	 5.3084525	52.0825145	Oude Postweg
1	20016	50310070	5031	 5.3104245	52.0810327	Oude Postweg
1	20010	50310010	5031	 5.2867422	52.0899131	Woudschoten
1	19863	50201240	5020	 5.2844927	52.0909897	Woudschoten
1	20017	50310080	5031	 5.3142212	52.0787612	Dorpsplein
1	20018	50310090	5031	 5.3141484	52.0786443	Dorpsplein
1	19860	50201210	5020	 5.2791069	52.0915781	Alg. Begraafplaats
1	20020	50310110	5031	 5.3189081	52.0759597	Waterlooweg
1	20019	50310100	5031	 5.3191269	52.0759598	Waterlooweg
1	20021	50310120	5031	 5.3242142	52.0783715	Traayweg
1	20022	50310130	5031	 5.3244040	52.0783087	Traayweg
1	19861	50201220	5020	 5.2768609	52.0911086	Alg. Begraafplaats
1	20023	50310140	5031	 5.3375376	52.0870693	De Pyramide
1	19813	50200780	5020	 5.2721420	52.0819992	Prinses Irenelaan
1	20126	50410010	5041	 5.3392014	52.0865846	De Pyramide
1	19814	50200790	5020	 5.2716029	52.0817560	Prinses Irenelaan
1	19815	50200800	5020	 5.2735079	52.0784143	Pr. Margrietlaan 405
1	19816	50200810	5020	 5.2731725	52.0783510	Pr. Margrietlaan 405
1	19811	50200760	5020	 5.2677469	52.0834778	Oranje Nassaulaan
1	19812	50200770	5020	 5.2675279	52.0835315	Oranje Nassaulaan
1	55045	50320410	5032	 5.3055784	52.1146358	P+R Soesterberg
1	19809	50200740	5020	 5.2635618	52.0880214	Jagersingel
1	19810	50200750	5020	 5.2633138	52.0880392	Jagersingel
1	19818	50200830	5020	 5.2690949	52.0757315	Pr. Margrietlaan 235
1	19817	50200820	5020	 5.2687167	52.0753356	Pr. Margrietlaan 235
1	19808	50200730	5020	 5.2601704	52.0902918	Prof.Lorentzln.-Zkh.
1	55044	50320400	5032	 5.3051211	52.1172150	P+R Soesterberg
1	19807	50200720	5020	 5.2598630	52.0906150	Prof.Lorentzln.-Zkh.
1	20049	50320270	5032	 5.2915124	52.1178159	Kamerlingh Onneslaan
1	20048	50320260	5032	 5.2918332	52.1179959	Kamerlingh Onneslaan
1	20047	50320250	5032	 5.2880095	52.1172827	Kampweg
1	20046	50320240	5032	 5.2880089	52.1175613	Kampweg
1	19820	50200850	5020	 5.2631763	52.0744581	Graaf Adolflaan
1	19819	50200840	5020	 5.2630596	52.0744490	Graaf Adolflaan
1	19805	50200700	5020	 5.2555369	52.0930011	Lindenlaan
1	19821	50200860	5020	 5.2592477	52.0761616	Van Stolberglaan
1	19806	50200710	5020	 5.2544120	52.0934582	Lindenlaan
1	20004	50300400	5030	 5.2845467	52.0610685	M. van Carnbeelaan
1	19822	50200870	5020	 5.2587227	52.0761071	Van Stolberglaan
1	20005	50300410	5030	 5.2845327	52.0608169	M. van Carnbeelaan
1	19775	50200390	5020	 5.2634045	52.0710519	Prinses Margrietlaan
1	19773	50200380	5020	 5.2609057	52.0727300	Prinses Margrietlaan
1	20006	50300420	5030	 5.2897272	52.0592484	Gezichtslaan
1	20007	50300430	5030	 5.2890856	52.0592389	Gezichtslaan
1	19990	50300230	5030	 5.2750626	52.0634058	Van Oosthuyselaan
1	19874	50201460	5020	 5.2555872	52.1007039	Geroplein
1	19876	50201480	5020	 5.2529478	52.0950924	Lindenlaan
1	19987	50300200	5030	 5.2746254	52.0632885	Van Oosthuyselaan
1	19875	50201470	5020	 5.2555418	52.1012701	Geroplein
1	19877	50201490	5020	 5.2525252	52.0949031	Lindenlaan
1	19772	50200370	5020	 5.2582622	52.0739405	Heerewegen
1	19771	50200360	5020	 5.2573702	52.0747125	Heerewegen
1	20050	50320280	5032	 5.2911542	52.1214648	Oude Tempellaan
1	20009	50300450	5030	 5.2944698	52.0574636	Traay/Arnhemsebovenw
1	20008	50300440	5030	 5.2964829	52.0570068	Traay/Arnhemsebovenw
1	20051	50320290	5032	 5.2910365	52.1218691	Oude Tempellaan
1	19767	50200340	5020	 5.2557776	52.0756275	De Oldenborgh
1	19866	50201310	5020	 5.2507924	52.0936608	Kritzingerlaan
1	19846	50201070	5020	 5.2552285	52.1035617	Handelscentrum
1	19849	50201100	5020	 5.2547766	52.1033994	Handelscentrum
1	20033	50320110	5032	 5.2899987	52.1223446	Oude Tempellaan
1	19889	50205020	5020	 5.2496963	52.0894531	Busstation
1	20032	50320100	5032	 5.2896191	52.1223353	Oude Tempellaan
1	19768	50200350	5020	 5.2540834	52.0763716	De Oldenborgh
1	19888	50205012	5020	 5.2494921	52.0894169	Busstation
1	19886	50205010	5020	 5.2493611	52.0893179	Busstation
1	19865	50201300	5020	 5.2496396	52.0936504	Kritzingerlaan
1	19887	50205011	5020	 5.2492592	52.0892549	Busstation
1	19885	50205000	5020	 5.2492448	52.0891919	Busstation
1	19891	50205022	5020	 5.2492303	52.0891380	Busstation
1	19995	50300280	5030	 5.3003784	52.0556705	Welgelegenlaan
1	20053	50320330	5032	 5.2777687	52.1197543	RK Kerk
1	20054	50320350	5032	 5.2846703	52.1218098	't Zwaantje
1	19998	50300310	5030	 5.3001892	52.0555086	Welgelegenlaan
1	20028	50320050	5032	 5.2705045	52.1170150	Sterrenberg
1	20029	50320060	5032	 5.2763385	52.1194384	RK Kerk
1	20031	50320080	5032	 5.2847281	52.1220615	't Zwaantje
1	20045	50320230	5032	 5.2979675	52.1243104	K.der Kontinenten
1	20027	50320040	5032	 5.2685488	52.1167254	Sterrenberg
1	19851	50201120	5020	 5.2565860	52.1085606	P.Alexanderstichting
1	19848	50201090	5020	 5.2566876	52.1087494	P.Alexanderstichting
1	19765	50200320	5020	 5.2502686	52.0788389	Louise de Colignypl.
1	19766	50200330	5020	 5.2502838	52.0786592	Louise de Colignypl.
1	20034	50320120	5032	 5.2997911	52.1251925	K.der Kontinenten
1	19842	50201020	5020	 5.2546397	52.0707727	Nieuw Beerschoten
1	19764	50200310	5020	 5.2476656	52.0808851	Amandelhof
1	19873	50201390	5020	 5.2502803	52.1036369	Johannes Postlaan
1	19872	50201380	5020	 5.2499024	52.1031421	Johannes Postlaan
1	19867	50201320	5020	 5.2460925	52.0939968	Berkenlaan
1	19763	50200300	5020	 5.2472406	52.0815228	Amandelhof
1	19843	50201030	5020	 5.2541579	52.0709249	Nieuw Beerschoten
1	20026	50320030	5032	 5.2607741	52.1142186	Dolderseweg
1	19969	50300020	5030	 5.2673545	52.0611152	Loolaan/A12
1	19968	50300010	5030	 5.2603295	52.0650446	Station Drieb./Zeist
1	20078	50390220	5039	 5.2604318	52.0649728	Station Drieb./Zeist
1	20079	50390230	5039	 5.2602420	52.0650445	Station Drieb./Zeist
1	19893	50205530	5020	 5.2602128	52.0650445	Station Drieb./Zeist
1	19776	50200400	5020	 5.2603151	52.0649637	Station Drieb./Zeist
1	19841	50201010	5020	 5.2514691	52.0726026	Heideweg
1	19868	50201330	5020	 5.2449682	52.0942291	Berkenlaan
1	19804	50200670	5020	 5.2447607	52.0860497	Weeshuislaan
1	19970	50300030	5030	 5.2688011	52.0599842	Loolaan/A12
1	19840	50201000	5020	 5.2500071	52.0737244	Heideweg
1	19997	50300300	5030	 5.3079658	52.0524491	Het Grote Bos
1	19844	50201050	5020	 5.2475397	52.1025641	Verzetslaan
1	19971	50300040	5030	 5.2731667	52.0577235	Beukenstein
1	20025	50320020	5032	 5.2576659	52.1136939	Dolderseweg
1	19803	50200660	5020	 5.2439881	52.0858331	Weeshuislaan
1	20002	50300350	5030	 5.2701459	52.0587092	Hoofdstraat
1	19972	50300050	5030	 5.2732402	52.0574809	Beukenstein
1	19853	50201140	5020	 5.2547233	52.1115425	Prins Alexanderweg
1	19847	50201080	5020	 5.2470873	52.1025546	Verzetslaan
1	35351	59390010	5032	 5.2547956	52.1117763	Prins Alexanderweg
1	19758	50200230	5020	 5.2432263	52.0913598	Steynlaan
1	20024	50320010	5032	 5.2547222	52.1119110	Prins Alexanderweg
1	19762	50200290	5020	 5.2437605	52.0840172	Hogeweg
1	20098	50400150	5040	 5.3085790	52.0519192	Het Grote Bos
1	19981	50300140	5030	 5.2698697	52.0583944	Hoofdstraat
1	19757	50200220	5020	 5.2429335	52.0916471	Steynlaan
1	20043	50320210	5032	 5.2553767	52.1127476	Prins Alexanderweg
1	19761	50200280	5020	 5.2434094	52.0843224	Hogeweg
1	19760	50200260	5020	 5.2439369	52.0972928	Schaerweydelaan
1	19869	50201340	5020	 5.2433739	52.0953597	Schaerweydelaan
1	20036	50320140	5032	 5.3105485	52.1280223	De Stompert
1	19973	50300060	5030	 5.2778833	52.0548608	Rijsenburg
1	20037	50320150	5032	 5.3119939	52.1282389	De Stompert
1	19850	50201110	5020	 5.2448255	52.1023721	Vrijheidsplein
1	19751	50200160	5020	 5.2424018	52.0981537	Burg. Patijnlaan
1	19845	50201060	5020	 5.2442856	52.1023445	Vrijheidsplein
1	19974	50300070	5030	 5.2787604	52.0539268	Rijsenburg
1	19975	50300080	5030	 5.2803368	52.0531643	Traay
1	19752	50200170	5020	 5.2417015	52.0980900	Burg. Patijnlaan
1	19839	50200990	5020	 5.2431113	52.0772125	Molenweg
1	19749	50200140	5020	 5.2418553	52.1001484	Nepveulaan
1	20099	50400160	5040	 5.3147195	52.0501974	Bartimeushage
1	19976	50300090	5030	 5.2820887	52.0521412	Traay
1	19999	50300320	5030	 5.2672345	52.0569267	v.Asch v.Wijcklaan
1	19750	50200150	5020	 5.2415191	52.1003098	Nepveulaan
