# HTM
# based on http://www.htm.net/smartsite.dws?id=NAVIGATIE&kaarttype=0&halte_ids=1,2,3,4,...
# and google geocoding api administrative_area_level_2
company	ovcid	city             	name
3	30201	Den Haag              	Kurhaus
3	30202	Den Haag              	Kurhaus
3	30204	Den Haag              	Kurhaus
3	30205	Den Haag              	Kurhausweg
3	30206	Den Haag              	Kurhaus
3	30207	Den Haag              	Zwarte Pad
3	30208	Den Haag              	Zwarte Pad
3	30209	Den Haag              	Zwarte Pad
3	30212	Den Haag              	Zwarte Pad
3	30214	Den Haag              	Zwarte Pad
3	30217	Den Haag              	Harstenhoekplein
3	30218	Den Haag              	Harstenhoekplein
3	30219	Den Haag              	Stevinstraat
3	30220	Den Haag              	Stevinstraat
3	30221	Den Haag              	Gentsestraat
3	30222	Den Haag              	Gentsestraat
3	30223	Den Haag              	Duinkerksestraat
3	30224	Den Haag              	Duinkerksestraat
3	30225	Den Haag              	Doorniksestraat
3	30226	Den Haag              	Doorniksestraat
3	30227	Den Haag              	Pompstationsweg
3	30228	Den Haag              	Pompstationsweg
3	30301	Den Haag              	Cremerweg
3	30302	Den Haag              	Cremerweg
3	30303	Den Haag              	Wagenaarweg
3	30304	Den Haag              	Wagenaarweg
3	30305	Den Haag              	Badhuisweg
3	30306	Den Haag              	Badhuisweg
3	30309	Den Haag              	Maurits de Brauwweg
3	30310	Den Haag              	Maurits de Brauwweg
3	30311	Den Haag              	Plesmanweg
3	30312	Den Haag              	Plesmanweg
3	30401	Den Haag              	Bronovo Ziekenhuis
3	30402	Den Haag              	Bronovo Ziekenhuis
3	30403	Den Haag              	Bronovo Ziekenhuis
3	30404	Den Haag              	Bronovo Ziekenhuis
3	30405	Den Haag              	Waalsdorperweg
3	30406	Den Haag              	Waalsdorperweg
3	30407	Den Haag              	Else Mauhslaan
3	30408	Den Haag              	Stalpertstraat
3	30409	Den Haag              	Theo Mann Bouwmeesterlaan
3	30411	Den Haag              	Oostduinlaan
3	30412	Den Haag              	Oostduinlaan
3	30413	Den Haag              	Van der Woertstraat
3	30414	Den Haag              	Van der Woertstraat
3	30415	Den Haag              	Ruychrocklaan
3	30416	Den Haag              	Ruychrocklaan
3	30417	Den Haag              	Groenhovenstraat
3	30418	Den Haag              	Groenhovenstraat
3	30419	Den Haag              	Raamweg
3	30420	Den Haag              	Raamweg
3	30424	Den Haag              	Jozef Israelsplein
3	30425	Den Haag              	Jozef Israelsplein
3	30426	Den Haag              	Jozef Israelsplein
3	30427	Den Haag              	Jozef Israelsplein
3	30428	Den Haag              	Van Hoytemastraat
3	30429	Den Haag              	Van Hoytemastraat
3	30430	Den Haag              	Wassenaarseweg
3	30431	Den Haag              	Wassenaarseweg
3	30432	Den Haag              	Van Alkemadelaan
3	30433	Den Haag              	Van Alkemadelaan
3	30436	Den Haag              	Weissenbruchstraat
3	30437	Den Haag              	Weissenbruchstraat
3	30438	Den Haag              	Willem Witsenplein
3	30439	Den Haag              	Willem Witsenplein
3	30440	Den Haag              	Breitnerlaan
3	30441	Den Haag              	Laan van Clingendael
3	30442	Den Haag              	Laan van Clingendael
3	30447	Den Haag              	Wassenaarseweg
3	30448	Den Haag              	Wassenaarseweg
3	30501	Den Haag              	Ary van der Spuyweg
3	30502	Den Haag              	Ary van der Spuyweg
3	30503	Den Haag              	Bankaplein
3	30504	Den Haag              	Bankaplein
3	30505	Den Haag              	Riouwstraat
3	30506	Den Haag              	Riouwstraat
3	30507	Den Haag              	Vredespaleis
3	30508	Den Haag              	Vredespaleis
3	30509	Den Haag              	Vredespaleis
3	30510	Den Haag              	Nassauplein
3	30511	Den Haag              	Nassauplein
3	30513	Den Haag              	Laan Copes van Cattenburch
3	30514	Den Haag              	Laan Copes van Cattenburch
