# NS station codes
# based on
#  http://home.kpn.nl/judoschaak/treinen/afgiftepunten/afgiftepunten.html
#  http://home.planet.nl/~schif026/keuzenl.html
#  http://www.numdex.nl/NSstationnummers.html
# and many direct observations
#
# Still missing:
#  Amsterdam Holendrecht, Eygelshoven Markt, Groningen Europapark,
#  Heerlen de Kissel, Mook Molenhoek, Utrecht Maliebaan, Voorst Empe
#
company	ovcid	title
# station/Fe codes
4	  45	Aalten
4	  47	Abcoude
4	  49	Akkrum
4	  50	Alkmaar
4	  51	Almelo
4	  52	Alkmaar Noord
4	  53	Alphen aan den Rijn
4	  54	Amersfoort Schothorst
4	  55	Amersfoort
4	  56	Amsterdam RAI
4	  57	Amsterdam Amstel
4	  58	Amsterdam Centraal
4	  59	Amsterdam Sloterdijk
4	  60	Amsterdam Muiderpoort
4	  61	Amsterdam Zuid/WTC
4	  65	Anna Paulowna
4	  66	Apeldoorn
4	  67	Appingedam
4	  68	Arkel
4	  69	Arnemuiden
4	  71	Arnhem
4	  72	Arnhem Velperpoort
4	  73	Assen
4	  74	Amsterdam Bijlmer ArenA
4	  75	Arnhem Presikhaaf
4	  79	Amsterdam Lelylaan
4	  80	Almere Centrum
4	  81	Almere Buiten
4	  82	Almere Muziekwijk
4	  86	Baarn
4	  89	Baflo
4	  90	Barendrecht
4	  91	Barneveld Centrum
4	  92	Barneveld Noord
4	  94	Bedum
4	  96	Beek-Elsloo
4	  97	Beesd
4	 100	Beilen
4	 104	Almere Parkwijk
4	 108	Bergen op Zoom
4	 112	Best
4	 113	Beverwijk
4	 114	Bilthoven
4	 117	Blerick
4	 118	Bloemendaal
4	 121	Bodegraven
4	 124	Borne
4	 125	Boskoop
4	 127	Bovenkarspel-Grootebroek
4	 128	Boxmeer
4	 129	Boxtel
4	 131	Breda
4	 132	Breda Prinsenbeek
4	 133	Breukelen
4	 136	Brummen
4	 139	Buitenpost
4	 140	Bunde
4	 141	Bunnik
4	 145	Bussum Zuid
4	 147	Capelle Schollevaar
4	 151	Castricum
4	 152	Chevremont
4	 153	Coevorden
4	 154	Culemborg
4	 155	Cuijk
4	 161	Dalen
4	 163	Diemen Zuid
4	 164	Daarlerveen
4	 165	Diemen
4	 166	Delft Zuid
4	 167	Dalfsen
4	 168	Deinum
4	 169	Delden
4	 170	Delft
4	 171	Delfzijl
4	 172	Deurne
4	 173	Deventer
4	 174	Didam
4	 175	Delfzijl West
4	 176	Dieren
4	 177	Doetinchem
4	 179	Den Dolder
4	 180	Dordrecht
4	 181	Dordrecht Zuid
4	 182	Driebergen-Zeist
4	 183	Driehuis
4	 184	Doetinchem de Huet
4	 185	Deventer Colmschate
4	 186	Dordrecht Stadspolders
4	 188	De Vink
4	 192	Dronrijp
4	 193	Duiven
4	 194	Duivendrecht
4	 195	Echt
4	 196	Eindhoven Beukenlaan
4	 200	Ede-Wageningen
4	 201	Ede Centrum
4	 204	Emmen Bargeres
4	 206	Eindhoven
4	 207	Elst
4	 208	Emmen
4	 210	Enkhuizen
4	 212	Enschede
4	 216	Ermelo
4	 217	Enschede de Eschmarke
4	 218	Etten-Leur
4	 219	Eijsden
4	 221	Enschede Drienerlo
4	 223	Apeldoorn de Maten
4	 226	Almere Oostvaarders
4	 227	Arnhem Zuid
4	 228	Amersfoort Vathorst
4	 229	Apeldoorn Osseveld
4	 230	Bovenkarspel Flora
4	 232	Franeker
4	 235	Amsterdam Science Park
4	 239	Geerdijk
4	 241	Gaanderen
4	 242	Helmond Brandevoort
4	 244	Geldermalsen
4	 245	Geldrop
4	 246	Geleen Oost
4	 248	Geleen-Lutterade
4	 250	Gendringen
4	 251	Gilze-Rijen
4	 253	Goes
4	 254	Goor
4	 256	Gorinchem
4	 257	Gouda Goverwelle
4	 258	Gouda
4	 259	Gramsbergen
4	 262	Glanerbrug
4	 263	Groningen
4	 264	Groningen Noord
4	 266	Grou-Jirnsum
4	 267	Grijpskerk
4	 270	Haarlem Spaarnwoude
4	 278	Den Haag Mariahoeve
4	 279	Den Haag Moerwijk
4	 280	Den Haag HS
